Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150608,3592,瑞鼎,655459,165412420,250.00,257.50,247.50,255.00,-16.5000,1188
1150608,3593,力銘,10936,174556,16.00,16.10,15.95,16.10,-0.3500,23
1150608,3596,智易,1137576,204539201,175.50,183.50,175.50,181.00,-9.5000,1369
1150608,3605,宏致,2680248,186250861,67.50,72.70,67.50,72.20,-2.8000,2231
1150608,3607,谷崧,1205703,20047098,16.00,16.95,16.00,16.80,-0.7500,682
1150608,3617,碩天,409508,84040734,201.50,208.50,200.00,208.00,-9.0000,606
1150608,3622,洋華,767297,42173810,53.50,56.40,53.30,56.10,-3.0000,729
1150608,3645,達邁,3806819,356739068,92.40,97.30,92.30,96.40,-6.1000,3460
1150608,3652,精聯,288454,9074754,30.65,32.30,30.65,31.85,-2.1000,217
1150608,3653,健策,2195430,7931381395,3260.00,3860.00,3260.00,3820.00,200.0000,11652
1150608,3661,世芯-KY,1491317,6031850335,3900.00,4180.00,3895.00,4170.00,-115.0000,12620
1150608,3665,貿聯-KY,3401208,7005509790,1980.00,2120.00,1980.00,2095.00,-105.0000,11907
1150608,3669,圓展,810556,29830557,36.80,37.70,36.75,36.75,-4.0500,535
1150608,3673,TPK-KY,22948441,1834266944,77.40,84.60,77.40,82.80,-3.2000,16814
1150608,3679,新至陞,85116,10434539,122.00,124.00,120.00,122.50,-2.5000,190
1150608,3686,達能,279556,4512437,15.80,16.45,15.80,16.45,-0.6500,220
1150608,3694,海華,1890367,115371469,60.30,62.50,60.30,62.00,-5.0000,1367
1150608,3701,大眾控,1557994,79545720,50.40,52.30,50.40,51.60,-4.4000,1202
1150608,3702,大聯大,27570429,2972213211,108.00,109.50,105.50,108.00,-6.5000,14018
1150608,3703,欣陸,2109995,44343082,20.80,21.25,20.75,21.00,-0.5500,831
1150608,3704,合勤控,6113976,273277559,43.95,47.05,43.00,46.70,-1.0000,4231
1150608,3705,永信,232972,13187773,56.30,56.80,56.20,56.50,-0.8000,207
1150608,3706,神達,24364932,2095289903,83.50,88.00,83.50,87.30,-5.1000,18123
1150608,3708,上緯投控,1177885,133484951,110.00,117.50,110.00,117.00,-2.5000,1178
1150608,3711,日月光投控,26428013,13993049056,520.00,543.00,520.00,540.00,-37.0000,57351
1150608,3712,永崴投控,880755,15801234,16.80,18.50,16.80,18.25,-0.0500,692
1150608,3714,富采,18737515,1195110666,63.20,65.20,63.20,64.80,-5.4000,11133
1150608,3715,定穎投控,8189737,1290465642,153.00,167.00,153.00,166.00,-4.0000,8967
1150608,3716,中化控股,439770,15199805,34.60,34.95,34.05,34.80,-0.8000,427
1150608,3717,聯嘉投控,1767604,36889869,20.60,21.45,20.55,21.45,-0.8000,927
1150608,4104,佳醫,413466,29011017,70.20,70.80,69.50,70.40,-1.1000,512
1150608,4106,雃博,166586,3940768,23.80,24.00,23.45,23.95,-0.0500,261
1150608,4108,懷特,358726,4442914,12.50,12.55,12.25,12.30,-0.4000,241
1150608,4119,旭富,271372,11224298,41.10,42.00,40.30,41.10,-0.2000,301
1150608,4133,亞諾法,174834,3619622,21.00,21.00,20.50,20.60,-0.7500,313
1150608,4137,麗豐-KY,645910,72918464,110.00,115.00,110.00,113.50,-2.0000,492
1150608,4142,國光生,1677394,29390023,17.25,17.70,17.10,17.65,-0.2000,808
1150608,4148,全宇生技-KY,14205,455235,32.40,32.40,31.75,31.85,-0.6500,27
1150608,4155,訊映,420972,6277079,15.00,15.20,14.55,15.00,-0.4500,334
1150608,4164,承業醫,883721,25904841,28.50,30.00,28.30,30.00,-0.0500,621
1150608,4169,泰宗,186820,27948969,149.50,152.50,146.50,151.00,-3.0000,259
1150608,4178,永笙-KY,461597,8459853,18.55,18.55,18.10,18.35,-0.5000,244
1150608,4190,佐登-KY,331653,8293148,25.25,26.05,24.55,24.90,-2.3500,834
1150608,4195,基米-創,228982,3732272,16.80,16.80,16.05,16.50,-0.3500,208
1150608,4306,炎洲,2361806,34716225,14.50,15.10,14.25,14.95,0.0000,1250
1150608,4414,如興,962407,8395547,8.10,9.05,8.10,8.72,0.2200,593
1150608,4426,利勤,437850,3525748,8.00,8.30,7.86,8.10,-0.3900,238
1150608,4438,廣越,107472,6495577,60.30,61.20,59.60,60.30,-1.6000,125
1150608,4439,冠星-KY,13016,1166142,90.00,90.30,88.50,90.30,0.3000,17
1150608,4440,宜新實業,34339,613060,17.85,17.95,17.70,17.95,-0.3000,36
1150608,4441,振大環球,111520,22591447,203.00,205.00,199.50,203.00,-8.5000,123
1150608,4526,東台,5611383,220198143,37.95,40.70,37.95,40.10,-2.0500,3324
1150608,4532,瑞智,1068858,25665897,23.60,24.25,23.60,24.20,-0.3500,644
1150608,4536,拓凱,245211,38993093,155.00,161.50,155.00,160.50,-2.0000,289
1150608,4540,全球傳動,3736925,237791856,62.70,65.50,62.70,64.80,-4.8000,3358
1150608,4545,銘鈺,715548,26231954,36.50,37.60,36.10,37.30,-2.8000,452
1150608,4551,智伸科,2037217,275618571,130.00,140.50,128.00,139.50,-2.0000,1664
1150608,4552,力達-KY,148413,3052617,20.05,21.05,20.05,21.00,0.4500,98
1150608,4555,氣立,880827,43074864,47.55,51.00,47.55,50.70,-2.1000,642
1150608,4557,永新-KY,113714,5068938,45.55,45.55,43.55,45.10,-0.6000,116
1150608,4560,強信-KY,469204,14954787,32.00,32.60,31.35,31.60,-1.2000,221
1150608,4562,穎漢,894043,33255644,36.50,38.20,36.50,37.65,-2.9000,717
1150608,4564,元翎,675038,10418494,15.35,15.85,14.60,15.60,-0.4000,476
1150608,4566,時碩工業,871697,54451554,61.80,64.00,61.60,63.60,-4.6000,812
1150608,4569,六方科-KY,103321,16355061,154.00,162.00,154.00,161.50,-8.0000,135
1150608,4571,鈞興-KY,660578,122692184,177.00,191.50,177.00,191.00,-4.0000,825
1150608,4572,駐龍,63789,8888354,136.00,144.00,136.00,143.00,-3.5000,182
1150608,4576,大銀微系統,2427655,497641618,198.50,214.50,198.50,210.00,-10.5000,3167
1150608,4581,光隆精密-KY,7146,355411,49.00,50.20,49.00,49.90,0.0000,13
1150608,4582,聚恆-創,270787,6638616,24.00,25.50,23.55,25.50,0.0000,130
1150608,4583,台灣精銳,166365,105152743,625.00,650.00,619.00,642.00,-33.0000,610
1150608,4585,達明,424734,137057331,318.00,329.00,316.00,326.00,-20.0000,1328
1150608,4588,玖鼎電力,154524,8826737,56.00,58.20,56.00,57.80,-2.4000,174
1150608,4590,富田-創,186615,13593394,71.20,73.80,71.20,73.30,-1.6000,187
1150608,4720,德淵,3248922,80827371,24.60,25.25,24.60,25.00,-2.3000,1821
1150608,4722,國精化,520332,129822752,249.50,249.50,249.50,249.50,-27.5000,880
1150608,4736,泰博,234975,29254298,122.00,126.00,122.00,124.50,-1.5000,288
1150608,4737,華廣,123528,6545882,51.00,54.60,49.75,53.70,-1.3000,105
1150608,4739,康普,10643265,1239208594,108.00,123.00,108.00,118.50,0.5000,7489
1150608,4746,台耀,865597,44785701,51.20,52.60,50.60,52.50,-0.7000,636
1150608,4755,三福化,698197,95144651,134.00,141.50,133.00,140.50,-7.0000,763
1150608,4763,材料*-KY,6552207,275985177,41.10,42.65,41.05,42.35,-1.2000,3676
1150608,4764,雙鍵,1566489,411023638,254.00,278.00,254.00,270.50,-11.5000,1890
1150608,4766,南寶,1363787,465529115,330.00,360.50,330.00,360.00,-6.5000,1863
1150608,4770,上品,821069,182472441,220.00,227.00,217.50,225.50,-12.0000,1073
1150608,4771,望隼,257091,48932762,186.00,193.00,186.00,191.50,-4.5000,1727
1150608,4807,日成-KY,753364,26324605,35.30,36.05,34.65,34.65,-3.8500,464
1150608,4904,遠傳,9459578,956648720,102.00,102.50,100.00,101.00,-0.5000,4396
1150608,4906,正文,16936572,736016003,43.20,44.10,43.20,43.70,-4.2500,9006
1150608,4912,聯德控股-KY,779061,68813999,85.30,90.90,85.20,89.50,-3.2000,707
1150608,4915,致伸,5184770,388149283,73.50,75.80,73.50,74.80,-2.6000,4270
1150608,4916,事欣科,3708077,414887341,108.00,119.00,108.00,116.00,-4.0000,3557
1150608,4919,新唐,2523703,405067068,160.50,160.50,160.50,160.50,-17.5000,3596
1150608,4927,泰鼎-KY,10899525,523765713,46.65,51.30,46.65,50.80,-1.0000,6588
1150608,4930,燦星網,53568,940052,17.70,17.85,17.30,17.35,-0.6500,234
1150608,4934,太極,1627981,24596895,14.90,15.35,14.90,15.25,-1.3000,707
1150608,4935,茂林-KY,367290,13763279,37.00,38.90,37.00,37.70,-3.4000,248
1150608,4938,和碩,37235560,3399633853,89.00,94.50,87.60,92.10,-4.8000,22848
1150608,4942,嘉彰,149259,5550403,37.70,37.70,36.55,37.20,-1.0000,127
1150608,4943,康控-KY,12087,106614,8.90,8.90,8.80,8.85,-0.0500,15
1150608,4949,有成精密,1595953,140506016,84.60,92.60,84.60,91.80,-2.1000,1402
1150608,4952,凌通,509688,23150565,44.80,46.15,44.75,46.00,-3.4000,506
1150608,4956,光鋐,1983907,77564729,38.60,40.40,38.60,39.95,-2.9000,1543
1150608,4958,臻鼎-KY,10721588,5231584891,456.00,512.00,456.00,512.00,0.0000,20977
1150608,4960,誠美材,7880180,235724517,29.35,30.90,29.35,30.45,-2.1500,4387
1150608,4961,天鈺,952155,148169550,153.00,158.50,153.00,158.00,-10.5000,1417
1150608,4967,十銓,7608345,1984132703,251.50,279.00,251.50,277.50,-1.5000,8930
1150608,4968,立積,1257863,132114348,103.00,107.00,103.00,107.00,-6.5000,1321
1150608,4976,佳凌,1225383,38637661,30.40,32.80,30.40,32.35,-1.3500,843
1150608,4977,眾達-KY,1171478,211510195,180.50,180.50,180.50,180.50,-20.0000,3156
1150608,4989,榮科,5093261,420521212,81.90,84.10,81.90,83.10,-7.8000,4648
1150608,4994,傳奇,50205,4393939,78.90,95.80,78.90,90.00,2.4000,125
1150608,4999,鑫禾,88685,1824834,20.70,20.75,20.00,20.75,-0.9000,310
1150608,5007,三星,45250,2554075,57.10,57.30,56.00,56.00,-1.1000,50
1150608,5203,訊連,778134,52036966,65.10,68.60,65.10,67.90,-3.9000,734
1150608,5215,科嘉-KY,200551,8977109,43.70,45.90,43.70,45.20,-3.2000,356
1150608,5222,全訊,589460,67106716,111.00,116.00,111.00,116.00,-5.5000,898
