日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
1150608,小型股300報酬指數,20379.81,-,865.57,-4.07,
1150608,水泥類報酬指數,266.68,-,5.82,-2.14,
1150608,食品類報酬指數,3297.28,-,50.88,-1.52,
1150608,塑膠類報酬指數,407.46,-,27.92,-6.41,
1150608,紡織纖維類報酬指數,888.26,-,26.76,-2.92,
1150608,電機機械類報酬指數,886.87,-,37.54,-4.06,
1150608,電器電纜類報酬指數,180.26,-,13.80,-7.11,
1150608,化學生技醫療類報酬指數,250.34,-,5.51,-2.15,
1150608,化學類報酬指數,365.42,-,13.58,-3.58,
1150608,生技醫療類報酬指數,117.63,-,1.64,-1.38,
1150608,玻璃陶瓷類報酬指數,189.55,-,16.46,-7.99,
1150608,造紙類報酬指數,421.40,-,9.26,-2.15,
1150608,鋼鐵類報酬指數,216.82,-,7.20,-3.21,
1150608,橡膠類報酬指數,350.88,-,8.52,-2.37,
1150608,汽車類報酬指數,510.39,-,17.29,-3.28,
1150608,電子工業類報酬指數,5763.70,-,212.42,-3.55,
1150608,半導體類報酬指數,2793.03,-,106.37,-3.67,
1150608,電腦及週邊設備類報酬指數,1031.91,-,50.84,-4.70,
1150608,光電類報酬指數,100.13,-,7.30,-6.80,
1150608,通信網路類報酬指數,581.48,-,16.05,-2.69,
1150608,電子零組件類報酬指數,1899.27,-,26.83,-1.39,
1150608,電子通路類報酬指數,1080.39,-,71.51,-6.21,
1150608,資訊服務類報酬指數,566.93,-,9.71,-1.68,
1150608,其他電子類報酬指數,528.53,-,29.28,-5.25,
1150608,建材營造類報酬指數,1029.41,-,24.28,-2.30,
1150608,航運類報酬指數,401.03,-,13.31,-3.21,
1150608,觀光餐旅類報酬指數,158.45,-,2.39,-1.49,
1150608,金融保險類報酬指數,5470.74,-,159.60,-2.83,
1150608,貿易百貨類報酬指數,398.04,-,14.66,-3.55,
1150608,油電燃氣類報酬指數,129.43,-,6.01,-4.44,
1150608,綠能環保類報酬指數,145.29,-,2.80,-1.89,
1150608,數位雲端類報酬指數,57.04,+,2.42,4.43,
1150608,運動休閒類報酬指數,68.15,-,0.18,-0.26,
1150608,居家生活類報酬指數,107.90,-,0.76,-0.70,
1150608,其他類報酬指數,520.18,-,6.91,-1.31,
1150608,臺灣生技報酬指數,4172.36,-,59.05,-1.40,
1150608,臺灣中小型公司治理報酬指數,29713.05,-,"1,173.58",-3.80,
1150608,臺灣IPO報酬指數,11398.52,-,399.99,-3.39,
1150608,智慧中立報酬指數,4188.30,-,76.86,-1.80,
1150608,加權指數掩護性臺指買權價外5%報酬指數,15664.31,-,207.46,-1.31,
1150608,臺灣企業社會責任中小型報酬指數,21672.31,-,"1,257.42",-5.48,
1150608,特選臺灣電動車代表報酬指數,26655.18,-,"1,277.39",-4.57,
1150608,臺灣科技龍頭通訊報酬指數,29511.38,-,"1,008.60",-3.30,
1150608,臺灣全市場報酬指數,17947.73,-,691.21,-3.71,
1150608,臺灣全市場半導體報酬指數,22974.84,-,"1,219.25",-5.04,
1150608,臺灣智慧移動與電動車報酬指數,19211.40,-,607.06,-3.06,
1150608,特選小資高價30報酬指數,24796.82,-,838.57,-3.27,
1150608,特選臺灣綠能及電動車報酬指數,13408.88,-,583.23,-4.17,
1150608,特選臺灣智能車供應鏈聯盟報酬指數,20790.37,-,818.19,-3.79,
1150608,臺灣全市場半導體精選30報酬指數,17778.99,-,804.57,-4.33,
1150608,特選臺灣高股息30報酬指數,10451.70,-,596.79,-5.40,
1150608,臺灣友善環境報酬指數,15042.95,-,577.18,-3.70,
1150608,台灣永續價值報酬指數,14472.97,-,547.88,-3.65,
1150608,特選臺灣IC設計報酬指數,8784.47,-,441.26,-4.78,
1150608,特選臺灣環境永續高股息報酬指數,11436.73,-,579.38,-4.82,
1150608,臺灣友善環境50報酬指數,14145.51,-,541.49,-3.69,
1150608,特選臺灣IC設計產業代表報酬指數,11629.42,-,637.69,-5.20,
1150608,特選臺灣綠能報酬指數,11102.89,-,516.89,-4.45,
1150608,特選臺灣智慧50報酬指數,11892.58,-,301.12,-2.47,
1150608,臺灣晶圓製造報酬指數,18066.86,-,997.67,-5.23,
1150608,臺灣精選高息報酬指數,11375.35,-,470.97,-3.98,
1150608,臺灣多因子優選高股息30報酬指數,13275.61,-,582.02,-4.20,
1150608,特選臺灣優利高填息30報酬指數,14172.68,-,654.78,-4.42,
1150608,特選臺灣科技優息報酬指數,16684.08,-,"1,093.02",-6.15,
1150608,臺灣半導體收益報酬指數,17510.94,-,"1,078.59",-5.80,
1150608,臺灣優選成長高股息報酬指數,13492.50,-,689.52,-4.86,
1150608,特選臺灣ESG低碳高息40報酬指數,12972.56,-,720.49,-5.26,
1150608,臺灣優選多因子30報酬指數,15072.73,-,458.55,-2.95,
1150608,臺灣創新科技50報酬指數,23513.96,-,905.59,-3.71,
1150608,臺灣全市場新經濟產業報酬指數,4403.47,-,26.66,-0.60,
1150608,臺灣ESG永續高股息等權重報酬指數,8329.76,-,292.09,-3.39,
1150608,臺灣永續高息中小型報酬指數,8382.23,-,416.35,-4.73,
1150608,特選臺灣高息動能報酬指數,10440.29,-,358.65,-3.32,
1150608,臺灣電子成長高息等權重報酬指數,9336.80,-,540.44,-5.47,
1150608,特選臺灣優利成長報酬指數,7985.79,-,489.28,-5.77,
1150608,臺灣價值高息報酬指數,7898.89,-,347.88,-4.22,
1150608,特選臺灣IC設計動能報酬指數,13152.06,-,705.78,-5.09,
1150608,臺灣趨勢動能高股息報酬指數,8871.68,-,365.00,-3.95,
1150608,特選臺灣科技高息成長報酬指數,9267.33,-,472.73,-4.85,
1150608,特選臺灣AI優息動能報酬指數,7974.32,-,489.21,-5.78,
1150608,臺灣優選AI 50報酬指數,9849.17,-,602.66,-5.77,
1150608,臺灣AI供應鏈聯盟報酬指數,17377.59,-,781.23,-4.30,
1150608,台灣旗艦動能50報酬指數,10623.11,-,526.06,-4.72,
1150608,特選臺灣動能趨勢報酬指數,16665.09,-,872.13,-4.97,
1150608,漲升股利150報酬指數,31626.07,-,"1,400.35",-4.24,
1150608,藍籌30報酬指數,37302.53,-,"1,187.03",-3.08,
1150608,工業菁英30報酬指數,32531.99,-,"1,185.76",-3.52,
1150608,低波動股利精選30報酬指數,16564.79,-,558.39,-3.26,
1150608,中小型A級動能50報酬指數,42278.48,-,"1,822.34",-4.13,
1150608,特選高息低波報酬指數,18260.45,-,548.08,-2.91,
1150608,臺灣永續報酬指數,34303.08,-,"1,278.43",-3.59,
1150608,存股雙十等權重報酬指數,28366.87,-,"1,016.54",-3.46,
1150608,特選大蘋果報酬指數,39046.15,-,"1,446.31",-3.57,
1150608,中小型300報酬指數,22067.78,-,"1,011.91",-4.38,
1150608,微波高息精選20報酬指數,16209.53,-,826.03,-4.85,
1150608,特選世代行動通訊報酬指數,25281.84,-,"1,157.53",-4.38,
1150608,智慧投資多因子30報酬指數,10609.53,-,280.84,-2.58,
1150608,特選大蘋果報酬正向兩倍指數,235652.69,-,"18,129.16",-7.14,
1150608,特選大蘋果報酬反向一倍指數,1099.06,+,37.90,3.57,
1150608,臺灣上櫃永續報酬指數,16792.66,-,789.39,-4.49,
1150608,特選台股領航報酬指數,32744.57,-,"1,279.66",-3.76,
1150608,特選Smart多因子報酬指數,22788.09,-,773.80,-3.28,
1150608,特選ESG高股息報酬指數,16856.66,-,902.19,-5.08,
1150608,特選上櫃ESG成長報酬指數,11147.25,-,567.17,-4.84,
1150608,臺灣優息存股報酬指數,6781.61,-,224.23,-3.20,
1150608,特選上櫃ESG永續高股息報酬指數,16406.68,-,"1,090.11",-6.23,
1150608,特選臺灣金融高股息存股報酬指數,10452.10,-,286.15,-2.66,
1150608,特選臺灣產業龍頭存股等權重報酬指數,10001.04,-,354.77,-3.43,
1150608,上櫃ESG 30報酬指數,17082.91,-,819.94,-4.58,
1150608,臺灣ESG低碳50報酬指數,18244.06,-,648.42,-3.43,
1150608,臺灣創新板報酬指數,19080.23,+,70.92,0.37,
1150608,特選上櫃ESG龍頭報酬指數,13753.31,-,814.05,-5.59,
1150608,臺灣市值動能50報酬指數,11112.91,-,347.64,-3.03,
1150608,臺灣護城河概念優選50報酬指數,10369.87,-,376.55,-3.50,
1150608,特選臺灣中小型精選動能100報酬指數,7119.17,-,320.04,-4.30,
1150608,特選臺灣大型股25報酬指數,11501.20,-,407.60,-3.42,
1150608,特選臺灣TOP 50報酬指數,8689.99,-,294.38,-3.28,
